category,quantity,storage,prep_hour,temp,humidity,safe_hours
Packaged,1,Room,23,22,45,32.85
Packaged,9,Room,2,32,32,22.12
Cooked,9,Room,19,6,65,4.48
Packaged,9,Freezer,13,19,58,85.0
Cooked,7,Room,10,22,39,5.22
Bakery,2,Room,12,11,52,23.18
Packaged,1,Fridge,23,34,64,26.37
Bakery,9,Room,9,28,66,10.75
Cooked,4,Room,9,10,84,3.46
Cooked,5,Fridge,14,28,40,7.6
Cooked,5,Freezer,22,9,68,14.37
Packaged,4,Freezer,5,34,54,49.29
Packaged,9,Freezer,7,25,83,51.36
Cooked,1,Room,10,30,47,2.94
Packaged,6,Freezer,6,36,55,60.64
Packaged,3,Fridge,8,13,45,67.83
Packaged,10,Fridge,13,30,53,29.71
Cooked,8,Freezer,2,8,85,7.54
Packaged,7,Room,19,9,54,43.16
Bakery,5,Freezer,17,5,73,43.44
Packaged,5,Freezer,20,26,37,84.01
Cooked,1,Fridge,23,21,62,8.33
Packaged,5,Room,20,37,68,17.09
Bakery,9,Room,16,5,68,15.5
Cooked,6,Room,9,20,33,5.42
Packaged,2,Room,23,36,82,13.7
Packaged,3,Room,21,35,90,16.62
Bakery,10,Freezer,13,18,89,25.6
Packaged,4,Freezer,22,24,55,92.91
Packaged,8,Fridge,16,33,37,37.39
Cooked,1,Fridge,18,40,44,6.57
Cooked,1,Room,7,9,87,3.57
Bakery,9,Room,7,22,72,12.38
Packaged,10,Room,18,35,45,24.85
Bakery,2,Room,3,32,52,11.81
Bakery,1,Freezer,21,11,33,51.5
Bakery,4,Room,6,17,64,15.21
Bakery,5,Room,14,20,85,12.86
Bakery,2,Freezer,1,39,83,13.71
Cooked,3,Room,13,36,60,2.6
Bakery,3,Room,12,5,54,20.78
Bakery,7,Fridge,22,40,72,14.85
Cooked,5,Room,6,8,67,6.94
Cooked,6,Freezer,1,8,67,12.77
Packaged,1,Room,16,10,84,24.14
Packaged,4,Room,12,12,90,30.46
Cooked,10,Freezer,1,10,56,14.26
Packaged,6,Freezer,8,18,72,75.04
Cooked,7,Fridge,4,24,59,7.07
Cooked,8,Room,19,11,34,7.47
Packaged,3,Fridge,11,9,86,42.32
Bakery,8,Room,17,24,69,15.4
Packaged,1,Freezer,21,40,49,66.71
Cooked,5,Room,3,11,77,5.29
Bakery,10,Fridge,6,26,43,24.86
Bakery,8,Freezer,8,8,35,59.82
Bakery,1,Room,10,13,70,19.79
Cooked,8,Freezer,17,32,65,4.38
Cooked,3,Freezer,17,7,83,10.1
Packaged,7,Room,4,7,49,42.86
Cooked,4,Fridge,21,20,72,4.98
Packaged,10,Fridge,23,14,89,41.89
Cooked,7,Room,0,16,77,6.34
Bakery,4,Freezer,8,15,80,30.31
Bakery,8,Room,7,17,82,14.04
Bakery,4,Fridge,7,6,72,23.67
Bakery,2,Fridge,8,27,71,21.04
Packaged,6,Freezer,0,12,86,66.68
Cooked,5,Freezer,1,11,68,10.74
Packaged,7,Fridge,19,37,37,40.35
Packaged,5,Room,1,32,30,29.37
Packaged,4,Freezer,11,32,34,76.84
Bakery,6,Freezer,21,12,76,39.05
Packaged,7,Fridge,10,30,74,25.89
Cooked,7,Room,21,29,73,5.01
Cooked,10,Freezer,9,30,65,7.68
Bakery,4,Fridge,13,25,59,24.72
Packaged,9,Room,15,15,72,24.89
Packaged,10,Freezer,10,10,82,61.9
Cooked,5,Freezer,7,17,39,11.51
Cooked,10,Fridge,2,34,56,6.73
Packaged,7,Room,15,30,45,20.18
Packaged,2,Room,13,19,41,46.92
Packaged,8,Freezer,1,40,45,59.31
Cooked,3,Fridge,14,38,65,5.12
Bakery,9,Freezer,13,40,58,28.21
Packaged,8,Fridge,8,20,83,33.95
Packaged,4,Fridge,8,33,34,48.21
Cooked,6,Fridge,10,39,35,5.22
Cooked,3,Fridge,22,18,34,11.19
Bakery,8,Freezer,13,8,43,54.01
Bakery,1,Freezer,18,29,60,24.35
Bakery,7,Fridge,13,39,77,14.94
Packaged,8,Room,7,22,57,32.81
Bakery,7,Fridge,23,15,83,17.8
Cooked,9,Freezer,0,30,67,6.67
Cooked,7,Room,4,34,41,2.63
Bakery,4,Fridge,14,25,51,28.33
Bakery,7,Fridge,8,10,60,17.48
Packaged,6,Room,7,9,79,43.6
Cooked,4,Room,6,6,69,4.68
Cooked,2,Fridge,18,18,59,11.37
Bakery,10,Room,19,12,79,16.07
Bakery,10,Room,0,24,66,13.2
Bakery,4,Fridge,2,20,36,33.13
Bakery,10,Freezer,3,7,52,46.1
Packaged,2,Fridge,16,26,30,74.63
Bakery,7,Room,11,34,75,7.63
Cooked,9,Freezer,20,22,69,11.01
Packaged,8,Fridge,13,22,50,56.46
Cooked,8,Fridge,7,34,66,4.76
Bakery,1,Fridge,15,25,41,26.45
Bakery,6,Fridge,8,22,65,15.38
Cooked,4,Room,23,31,61,3.27
Cooked,8,Freezer,20,36,58,9.72
Cooked,4,Fridge,12,20,49,9.38
Bakery,9,Fridge,16,27,57,28.51
Packaged,6,Fridge,22,34,47,33.06
Cooked,4,Room,10,12,77,5.31
Packaged,4,Room,6,35,47,26.89
Packaged,5,Freezer,3,17,48,78.19
Cooked,1,Fridge,22,39,38,6.33
Cooked,5,Freezer,22,13,70,13.99
Bakery,1,Room,18,23,60,14.05
Bakery,1,Room,8,35,37,17.03
Bakery,2,Fridge,18,8,39,35.81
Packaged,2,Fridge,7,12,65,55.51
Packaged,10,Freezer,7,38,54,48.12
Bakery,10,Fridge,13,24,66,19.35
Packaged,2,Freezer,6,18,46,97.93
Cooked,3,Room,17,9,40,5.17
Bakery,10,Freezer,15,23,32,35.57
Packaged,8,Fridge,2,19,89,33.52
Packaged,4,Freezer,13,12,64,63.49
Cooked,3,Fridge,2,8,40,13.87
Packaged,10,Freezer,9,33,37,58.17
Bakery,7,Freezer,8,37,64,19.79
Cooked,1,Freezer,13,25,68,8.67
Cooked,10,Room,18,6,78,6.14
Bakery,1,Freezer,5,35,63,23.31
Bakery,10,Room,13,36,35,12.68
Bakery,6,Fridge,21,11,84,15.6
Bakery,8,Freezer,9,30,82,17.69
Cooked,2,Fridge,10,21,50,6.49
Bakery,1,Freezer,21,39,59,26.25
Cooked,6,Freezer,19,36,70,6.47
Cooked,5,Room,17,13,89,3.56
Packaged,2,Fridge,0,20,75,37.69
Packaged,9,Room,13,10,44,44.65
Cooked,2,Fridge,20,14,61,10.35
Bakery,5,Freezer,13,35,60,18.18
Packaged,7,Room,6,37,77,21.65
Cooked,7,Fridge,10,37,47,6.84
Bakery,5,Freezer,18,36,85,14.06
Packaged,6,Fridge,10,40,78,29.16
Bakery,4,Fridge,22,20,66,19.25
Bakery,6,Room,23,35,75,10.86
Bakery,3,Fridge,15,7,38,41.81
Packaged,2,Fridge,14,11,63,58.44
Cooked,3,Freezer,13,14,34,17.04
Bakery,10,Fridge,22,30,71,10.45
Bakery,9,Freezer,12,25,70,30.07
Bakery,1,Freezer,19,9,45,55.73
Bakery,2,Room,13,11,78,17.02
Cooked,3,Fridge,22,24,87,3.83
Bakery,5,Room,11,28,57,14.03
Packaged,10,Fridge,21,16,40,47.84
Packaged,10,Fridge,21,20,61,44.57
Cooked,8,Room,20,21,59,4.42
Cooked,5,Fridge,21,39,40,4.17
Bakery,5,Freezer,20,32,74,18.23
Bakery,7,Room,15,11,45,17.55
Bakery,5,Freezer,22,23,31,53.29
Packaged,5,Fridge,0,8,88,47.6
Bakery,4,Fridge,19,27,44,26.92
Packaged,3,Fridge,20,11,87,42.2
Cooked,8,Fridge,1,28,76,4.78
Bakery,7,Fridge,5,17,38,37.59
Bakery,9,Freezer,8,15,46,46.64
Bakery,6,Fridge,3,34,34,17.34
Cooked,7,Freezer,17,28,35,16.92
Cooked,9,Fridge,3,34,53,6.08
Packaged,10,Fridge,12,28,36,61.39
Bakery,10,Room,17,25,88,10.43
Packaged,8,Room,22,24,71,25.43
Cooked,1,Room,9,36,37,3.63
Packaged,7,Room,14,28,72,31.68
Packaged,7,Freezer,18,14,86,53.31
Cooked,10,Fridge,13,22,32,10.34
Cooked,8,Fridge,7,28,36,12.55
Bakery,6,Freezer,1,30,47,21.75
Cooked,2,Fridge,21,18,71,8.78
Cooked,6,Room,7,13,80,4.26
Cooked,4,Freezer,18,18,82,11.56
Bakery,10,Room,0,22,84,12.08
Cooked,5,Freezer,5,12,72,13.98
Cooked,6,Room,7,25,31,5.13
Cooked,7,Room,16,12,77,3.5
Bakery,9,Fridge,18,11,58,26.9
Packaged,9,Room,9,34,71,21.54
Cooked,7,Fridge,13,11,61,8.46
Bakery,2,Room,10,14,34,20.09
Packaged,10,Freezer,17,25,54,84.0
Packaged,8,Fridge,16,32,36,46.45
Cooked,9,Freezer,23,18,57,12.71
Cooked,6,Fridge,14,30,56,6.61
Bakery,6,Fridge,21,21,53,29.52
Packaged,2,Fridge,2,10,35,73.24
Packaged,6,Freezer,4,40,33,65.24
Packaged,6,Freezer,21,12,56,81.28
Packaged,1,Fridge,9,24,52,46.62
Packaged,3,Room,21,35,44,28.55
Bakery,6,Freezer,3,22,66,25.32
Bakery,10,Freezer,19,40,31,29.64
Packaged,5,Freezer,0,16,47,94.87
Bakery,6,Fridge,0,16,85,15.45
Packaged,2,Fridge,4,6,35,97.09
Cooked,7,Fridge,14,26,40,7.36
Packaged,10,Fridge,19,10,86,29.34
Cooked,1,Freezer,21,10,47,14.39
Bakery,10,Fridge,14,31,47,14.03
Packaged,6,Room,13,12,48,42.04
Packaged,9,Fridge,21,24,32,51.86
Packaged,1,Room,6,24,90,21.24
Cooked,5,Fridge,10,12,30,11.47
Bakery,3,Room,12,39,75,8.47
Packaged,6,Freezer,2,30,85,37.47
Bakery,8,Room,2,25,66,12.27
Bakery,7,Freezer,9,12,55,32.08
Bakery,10,Room,14,28,35,17.84
Cooked,7,Room,18,30,63,2.16
Bakery,6,Freezer,7,26,79,24.58
Packaged,2,Freezer,16,37,42,65.11
Bakery,3,Fridge,7,11,39,31.72
Cooked,3,Freezer,20,9,41,22.14
Packaged,8,Fridge,18,33,73,32.42
Packaged,10,Freezer,10,25,39,82.12
Bakery,5,Fridge,8,8,52,33.83
Bakery,8,Fridge,1,8,53,36.8
Cooked,2,Freezer,19,37,54,8.74
Packaged,1,Freezer,14,17,50,97.38
Packaged,1,Room,14,11,81,32.02
Bakery,2,Freezer,16,16,32,47.07
Bakery,9,Fridge,16,15,53,25.34
Bakery,7,Fridge,10,8,80,22.44
Bakery,6,Room,3,40,73,8.71
Bakery,10,Freezer,4,26,35,41.88
Cooked,5,Fridge,20,30,38,7.44
Cooked,9,Fridge,12,26,82,3.8
Packaged,9,Freezer,2,32,62,37.75
Bakery,3,Fridge,6,26,90,18.74
Cooked,3,Room,4,9,48,9.51
Cooked,9,Freezer,23,38,32,10.63
Packaged,10,Room,12,14,40,31.98
Packaged,3,Freezer,23,33,32,63.82
Packaged,4,Freezer,14,23,78,68.21
Bakery,9,Room,7,24,81,11.4
Cooked,10,Fridge,14,34,79,3.66
Bakery,9,Freezer,13,15,82,22.19
Packaged,5,Room,1,35,85,14.97
Cooked,9,Freezer,3,23,35,16.11
Bakery,9,Fridge,4,32,35,23.51
Cooked,6,Fridge,0,31,33,6.4
Bakery,7,Room,2,28,44,12.73
Cooked,6,Freezer,4,13,32,14.22
Bakery,3,Freezer,22,35,58,27.83
Cooked,5,Room,6,14,65,6.6
Packaged,7,Freezer,3,23,45,67.96
Cooked,7,Room,20,34,34,3.34
Bakery,9,Freezer,0,37,66,16.98
Cooked,7,Fridge,0,27,45,8.43
Cooked,2,Freezer,16,28,34,20.01
Packaged,9,Freezer,17,6,54,110.73
Cooked,7,Freezer,11,21,77,6.4
Cooked,4,Fridge,23,11,79,8.21
Bakery,1,Room,11,39,51,14.14
Cooked,8,Freezer,22,35,70,5.13
Cooked,8,Room,1,23,42,3.67
Cooked,6,Room,9,37,55,5.07
Packaged,5,Fridge,1,17,48,56.41
Cooked,6,Freezer,8,12,81,8.19
